wallclock_str,period,clock,sec_elapsed,ill_score,uconn_score,margin,description
2026-04-04T22:12:38+00:00,1,18:24,96,0,3,-3,Braylon Mullins makes 24-foot three point jumper (Silas Demary Jr. assists)
2026-04-04T22:13:40+00:00,1,17:49,131,1,3,-2,Kylan Boswell makes free throw 1 of 2
2026-04-04T22:13:56+00:00,1,17:49,131,2,3,-1,Kylan Boswell makes free throw 2 of 2
2026-04-04T22:14:20+00:00,1,17:29,151,2,5,-3,Tarris Reed Jr. makes 5-foot turnaround jump shot
2026-04-04T22:14:51+00:00,1,16:58,182,2,8,-6,Braylon Mullins makes 25-foot three point jumper (Silas Demary Jr. assists)
2026-04-04T22:15:12+00:00,1,16:38,202,4,8,-4,Keaton Wagler makes driving layup
2026-04-04T22:15:49+00:00,1,16:38,202,5,8,-3,Keaton Wagler makes free throw 1 of 1
2026-04-04T22:16:50+00:00,1,16:11,229,7,8,-1,David Mirkovic makes 9-foot jumper
2026-04-04T22:17:24+00:00,1,15:39,261,7,10,-3,Tarris Reed Jr. makes 0-foot tip in layup
2026-04-04T22:21:03+00:00,1,15:39,261,7,11,-4,Tarris Reed Jr. makes free throw 1 of 1
2026-04-04T22:22:33+00:00,1,14:32,328,7,13,-6,Silas Demary Jr. makes 0-foot tip in layup
2026-04-04T22:22:45+00:00,1,14:21,339,9,13,-4,Andrej Stojakovic makes 10-foot turnaround jump shot
2026-04-04T22:23:07+00:00,1,14:00,360,9,16,-7,Jayden Ross makes 23-foot three point jumper (Silas Demary Jr. assists)
2026-04-04T22:23:45+00:00,1,13:21,399,9,18,-9,Tarris Reed Jr. makes 1-foot dunk (Alex Karaban assists)
2026-04-04T22:27:47+00:00,1,12:57,423,11,18,-7,Andrej Stojakovic makes 9-foot jumper
2026-04-04T22:29:12+00:00,1,12:22,458,12,18,-6,Andrej Stojakovic makes free throw 2 of 2
2026-04-04T22:36:08+00:00,1,10:30,570,15,18,-3,Keaton Wagler makes 28-foot three point jumper
2026-04-04T22:36:22+00:00,1,10:16,584,15,21,-6,Jayden Ross makes 23-foot three point jumper (Silas Demary Jr. assists)
