id,question,team1,team2,pm_date,game_date,home_team,away_team,p_open,p_star_elo,resolved_yes,volume,spread,duration_hours,elo_home_pre,elo_away_pre
1537552,Kings vs. Clippers,Sacramento Kings,LA Clippers,2026-03-09,2026-03-14,LA Clippers,Sacramento Kings,0.49,0.13719199143735028,1,4994896.664847803,0.001,136.0011111111111,1587.4285318037626,1309.9943688730564
1537556,Mavericks vs. Cavaliers,Dallas Mavericks,Cleveland Cavaliers,2026-03-09,2026-03-13,Dallas Mavericks,Cleveland Cavaliers,0.505,0.2410568946692509,1,2564484.9868810265,0.001,154.00027777777777,1362.5450471858614,1603.7809121174141
1627644,Nets vs. Trail Blazers,Brooklyn Nets,Portland Trail Blazers,2026-03-17,2026-03-16,Brooklyn Nets,Portland Trail Blazers,0.51,0.3482360616242724,0,1242543.7565500035,0.001,159.99583333333334,1321.301385968862,1472.1880199979119
1435449,Pistons vs. Cavaliers,Detroit Pistons,Cleveland Cavaliers,2026-02-25,2026-02-27,Detroit Pistons,Cleveland Cavaliers,0.505,0.6400424384835366,0,3325256.640631,0.001,156.00222222222223,1672.2724307913786,1614.289442764175
1427145,Kings vs. Lakers,Sacramento Kings,Los Angeles Lakers,2026-02-24,2026-03-01,Los Angeles Lakers,Sacramento Kings,0.51,0.18049825946505527,0,1923961.85819,0.001,135.00083333333333,1531.1334101761463,1310.3026654084213
1427137,Pelicans vs. Clippers,New Orleans Pelicans,LA Clippers,2026-02-24,2026-03-01,LA Clippers,New Orleans Pelicans,0.5,0.30540451910390976,0,2631190.878468,0.001,135.00222222222223,1525.7779678610405,1425.0353701201268
1427121,76ers vs. Celtics,Philadelphia 76ers,Boston Celtics,2026-02-24,2026-03-01,Boston Celtics,Philadelphia 76ers,0.515,0.3124732675523394,0,1563337.103033,0.001,134.0013888888889,1628.293109155418,1533.302421070182
1427134,Thunder vs. Mavericks,Oklahoma City Thunder,Dallas Mavericks,2026-02-24,2026-03-01,Dallas Mavericks,Oklahoma City Thunder,0.675,0.7877685556905056,1,2367038.197107,0.001,134.0013888888889,1382.6039721626892,1652.43953698631
1427118,Trail Blazers vs. Hawks,Portland Trail Blazers,Atlanta Hawks,2026-02-24,2026-03-01,Atlanta Hawks,Portland Trail Blazers,0.5,0.43647103829059464,0,1989736.218235,0.001,131.00222222222223,1495.1750807652345,1492.7907571073908
1427127,Pistons vs. Magic,Detroit Pistons,Orlando Magic,2026-02-24,2026-03-01,Orlando Magic,Detroit Pistons,0.605,0.6581178631654592,1,2800122.725119,0.001,131.0025,1526.5803348321172,1682.3512425138397
1427103,Bucks vs. Bulls,Milwaukee Bucks,Chicago Bulls,2026-02-24,2026-03-01,Chicago Bulls,Milwaukee Bucks,0.515,0.6245322831931484,0,2330274.635376,0.001,130.0013888888889,1366.204395789898,1496.597312189351
1427111,Grizzlies vs. Pacers,Memphis Grizzlies,Indiana Pacers,2026-02-24,2026-03-01,Indiana Pacers,Memphis Grizzlies,0.515,0.4787684183275952,1,1518637.994105,0.001,130.0013888888889,1338.7983571607,1366.036266262285
1427097,Cavaliers vs. Nets,Cleveland Cavaliers,Brooklyn Nets,2026-02-24,2026-03-01,Brooklyn Nets,Cleveland Cavaliers,0.76,0.8046915262715267,1,3203437.576143,0.001,129.0011111111111,1316.247294285729,1604.210631041714
1427105,Timberwolves vs. Nuggets,Minnesota Timberwolves,Denver Nuggets,2026-02-24,2026-03-01,Denver Nuggets,Minnesota Timberwolves,0.44,0.464879421165429,1,3223894.45342,0.001,129.0011111111111,1547.383601651045,1564.9390692357795
1414460,Lakers vs. Warriors,Los Angeles Lakers,Golden State Warriors,2026-02-24,2026-02-28,Golden State Warriors,Los Angeles Lakers,0.59,0.4485508668035981,1,3427825.136306,0.001,113.00111111111111,1509.5703377026737,1515.692834446647
1414462,Pelicans vs. Jazz,New Orleans Pelicans,Utah Jazz,2026-02-24,2026-02-26,Utah Jazz,New Orleans Pelicans,0.57,0.5009496756981837,1,2471069.432229,0.001,113.00138888888888,1355.5521748157246,1398.2120778737767
1414457,Raptors vs. Wizards,Toronto Raptors,Washington Wizards,2026-02-24,2026-02-28,Washington Wizards,Toronto Raptors,0.795,0.6877746516307286,1,2859410.123537,0.001,111.00166666666667,1362.2105321500915,1541.4017348442135
1414456,Rockets vs. Heat,Houston Rockets,Miami Heat,2026-02-24,2026-02-28,Miami Heat,Houston Rockets,0.555,0.6027622262432296,0,3530356.240409,0.001,107.00277777777778,1486.7797848908215,1601.217980462518
1414453,Trail Blazers vs. Hornets,Portland Trail Blazers,Charlotte Hornets,2026-02-24,2026-02-28,Charlotte Hornets,Portland Trail Blazers,0.41,0.3607392334382983,0,1432018.607464,0.001,104.00305555555556,1560.285324906616,1502.8914556436632
1407890,Nuggets vs. Thunder,Denver Nuggets,Oklahoma City Thunder,2026-02-24,2026-02-27,Oklahoma City Thunder,Denver Nuggets,0.45,0.3224403293138127,0,6225344.515721,0.001,89.00222222222222,1643.4112077655234,1556.4119308718316
1407886,Grizzlies vs. Mavericks,Memphis Grizzlies,Dallas Mavericks,2026-02-24,2026-02-27,Dallas Mavericks,Memphis Grizzlies,0.42,0.3679826292912576,1,2104664.462307,0.001,88.00305555555556,1400.300458542534,1348.33977988244
1407870,Cavaliers vs. Pistons,Cleveland Cavaliers,Detroit Pistons,2026-02-24,2026-02-27,Detroit Pistons,Cleveland Cavaliers,0.445,0.3599575615164634,0,6077970.598768,0.001,88.00333333333333,1672.2724307913786,1614.289442764175
1407883,Knicks vs. Bucks,New York Knicks,Milwaukee Bucks,2026-02-24,2026-02-27,Milwaukee Bucks,New York Knicks,0.73,0.5434855340745126,1,2498906.881628,0.001,88.00305555555556,1509.3797172352647,1581.673095263655
1407880,Nets vs. Celtics,Brooklyn Nets,Boston Celtics,2026-02-24,2026-02-27,Boston Celtics,Brooklyn Nets,0.14,0.11924367395037871,0,3952821.092313,0.001,87.00111111111111,1624.9542862848075,1319.5861171563395
1402338,Timberwolves vs. Clippers,Minnesota Timberwolves,LA Clippers,2026-02-24,2026-02-26,LA Clippers,Minnesota Timberwolves,0.615,0.451891455462328,1,3396362.928998,0.001,66.0025,1541.1250071080954,1549.5920299887246
1402334,Lakers vs. Suns,Los Angeles Lakers,Phoenix Suns,2026-02-24,2026-02-26,Phoenix Suns,Los Angeles Lakers,0.57,0.44211697540250894,0,2943052.91335,0.001,65.00111111111111,1526.4744923632875,1528.0721097579174
1402336,Pelicans vs. Jazz,New Orleans Pelicans,Utah Jazz,2026-02-24,2026-02-26,Utah Jazz,New Orleans Pelicans,0.54,0.5009496756981837,1,2050637.289618,0.001,65.00111111111111,1355.5521748157246,1398.2120778737767
1402332,Kings vs. Mavericks,Sacramento Kings,Dallas Mavericks,2026-02-24,2026-02-26,Dallas Mavericks,Sacramento Kings,0.24,0.2698859402446738,1,1171704.382364,0.001,64.00138888888888,1420.7436522156831,1289.859471735272
